file_name,file_path,class_name,class_index
Video_Morris_Maze_Before_Irradiation_Day4_Protons_rat6_14-11-00_DS.png,../data/train/Chaining/Video_Morris_Maze_Before_Irradiation_Day4_Protons_rat6_14-11-00_DS.png,Chaining,0
Video_Morris_Maze_30_days_Day3_Protons_rat1_11-43-26_DS.png,../data/train/Chaining/Video_Morris_Maze_30_days_Day3_Protons_rat1_11-43-26_DS.png,Chaining,0
Video_Morris_Maze_Before_Irradiation_Day2_Control_rat1_10-38-54_DS.png,../data/train/Chaining/Video_Morris_Maze_Before_Irradiation_Day2_Control_rat1_10-38-54_DS.png,Chaining,0
Video_Morris_Maze_90_days_Day2_Protons_rat3_11-54-43_DS.png,../data/train/Chaining/Video_Morris_Maze_90_days_Day2_Protons_rat3_11-54-43_DS.png,Chaining,0
Video_Morris_Maze_30_days_Day2_Protons_rat6_12-00-41_DS.png,../data/train/Chaining/Video_Morris_Maze_30_days_Day2_Protons_rat6_12-00-41_DS.png,Chaining,0
Video_Morris_Maze_Before_Irradiation_Day3_Protons_rat2_13-18-37_DS.png,../data/train/Chaining/Video_Morris_Maze_Before_Irradiation_Day3_Protons_rat2_13-18-37_DS.png,Chaining,0
Video_Morris_Maze_90_days_Day2_Protons_rat5_12-08-56_DS.png,../data/train/Chaining/Video_Morris_Maze_90_days_Day2_Protons_rat5_12-08-56_DS.png,Chaining,0
Video_Morris_Maze_30_days_Day3_Protons_rat5_11-52-17_DS.png,../data/train/Chaining/Video_Morris_Maze_30_days_Day3_Protons_rat5_11-52-17_DS.png,Chaining,0
.ipynb_checkpoints,../data/train/Chaining/.ipynb_checkpoints,Chaining,0
Video_Morris_Maze_30_days_Day3_Control_rat5_11-15-52_DS.png,../data/train/Chaining/Video_Morris_Maze_30_days_Day3_Control_rat5_11-15-52_DS.png,Chaining,0
